paper_id,title,paper_url,year,authors,status,needs_review,S,F,F_mode,P,E,E_relational_adaptation,S_to_F_presence,S_to_F_validation,S_to_P_presence,S_to_P_validation,F_to_P_presence,F_to_P_validation,P_to_E_presence,P_to_E_validation,E_to_S_presence,E_to_S_validation,E_to_F_presence,E_to_F_validation,E_to_P_presence,E_to_P_validation
hu2026theramind,TheraMind: A Strategic and Adaptive Agent for Longitudinal Psychological Counseling,https://dl.acm.org/doi/10.1145/3774904.3793049,2026,"Hu, He and Ma, Chiyuan and Wang, Qianning and Liu, Lin and Zhou, Yucheng and Cui, Laizhong and Ma, Fei and Tian, Qi",majority,False,Present,Absent,NA,Present,Present,Yes,Absent,NA,Explicit,V0,Absent,NA,Explicit,V0,Explicit,V0,Absent,NA,Explicit,V0
tang-etal-2026-trace,TRACE: Two-Phase RL for Causal Graph Exploration and Deeper Psychological Intervention in Dynamic Counseling Scenarios,https://aclanthology.org/2026.findings-acl.1711/,2026,"Tang, Shilin and Yin, Zunyi and Liang, Xuefeng and Shi, Guanghui and Tong, Song and Guangyu, Chen",needs_review,True,Present,Present,Dynamic,Present,Present,No,Explicit,V0,Explicit,V0,Explicit,V0,Explicit,V0,Explicit,V0,Explicit,V0,Explicit,NA
heo-etal-2026-stress,Stress-Testing Emotional Support Models: Moving from Homogeneous to Diverse Help Seekers,https://aclanthology.org/2026.findings-acl.1146/,2026,"Heo, Chaewon and Jin, Cheyon and Jo, Yohan",needs_review,True,Present,Absent,NA,Absent,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA
meng-etal-2026-storymi,StoryMI: Steerable Multi-Agent Therapeutic Dialogue Generation,https://aclanthology.org/2026.findings-acl.468/,2026,"Meng, Qingyu and Chen, Min and Liu, Dingming and Mo, Yifan and Su, Yue and Sun, Xin and Hindriks, Koen and Pei, Jiahuan",majority,False,Present,Absent,NA,Present,Present,No,Absent,NA,Explicit,V0,Absent,NA,Explicit,V0,Explicit,V0,Absent,NA,Explicit,V0
zeng-nakano-2026-schema,Schema-Guided Response Generation using Multi-Frame Dialogue State for Motivational Interviewing Systems,https://aclanthology.org/2026.findings-acl.2063/,2026,"Zeng, Jie and Nakano, Yukiko",majority,False,Present,Absent,NA,Present,Present,No,Absent,NA,Explicit,V0,Absent,NA,Explicit,V0,Explicit,V0,Absent,NA,Absent,NA
li-etal-2026-recap,RECAP: Resistance Capture in Text-based Mental Health Counseling with Large Language Models,https://aclanthology.org/2026.conll-main.33/,2026,"Li, Anqi and Chen, Yuqian and Lu, Yu and Chen, Zhaoming and Zhu, Yi and Xie, Yuan and Lan, Zhenzhong",majority,False,Absent,Absent,NA,Absent,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA
wang-etal-2026-psychological,Psychological Counseling Cannot Be Achieved Overnight: Automated Psychological Counseling Through Multi-Session Conversations,https://aclanthology.org/2026.findings-acl.818/,2026,"Wang, Bichen and Wang, Junzhe and Sun, Yixin and Fu, Xing and Zhao, Yanyan and Qin, Bing",majority,False,Present,Absent,NA,Present,Present,No,Absent,NA,Explicit,V0,Absent,NA,Explicit,V0,Explicit,V0,Absent,NA,Explicit,V0
chen-etal-2026-psychepass,PsychePass: Calibrating LLM Therapeutic Competence via Trajectory-Anchored Tournaments,https://aclanthology.org/2026.findings-acl.1993/,2026,"Chen, Zhuang and Wan, Dazhen and Zheng, Zhangkai and Bi, Guanqun and Xiao, Xiyao and Li, Binghang and Huang, Minlie",majority,False,Absent,Absent,NA,Absent,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA
xu-etal-2026-puppet,PUPPET: Neural-Symbolic Standardized Patients for Mental Health,https://aclanthology.org/2026.acl-long.121/,2026,"Xu, Chen and ji, Yu and Lv, Zhenyu and Yi, Yang and Yang, Yizhe and Ji, Luyao and Chen, Chaoyi and Wang, Xianyang and Lan, Tian and Wang, Zhihua and Wang, Juan and Dong, Xunde and Tian, Fuze and Dong, Qunxi and Hu, Bin",needs_review,True,Present,Present,NA,Absent,Present,No,Explicit,NA,Absent,NA,Absent,NA,Absent,NA,Explicit,V0,Explicit,V0,Absent,NA
puspo-etal-2026-role,On the Role of Context in LLM Alignment to Mental Health Counseling Competencies,https://aclanthology.org/2026.clpsych-1.6/,2026,"Puspo, Sadiya Sayara Chowdhury and Zampieri, Marcos and Uzuner, \""Ozlem",majority,False,Absent,Absent,NA,Absent,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA
mazhar-etal-2026-measuring,Measuring What Matters!! Assessing Therapeutic Principles in Mental-Health Conversation,https://aclanthology.org/2026.acl-long.731/,2026,"Mazhar, Abdullah and Shah, Het Riteshkumar and Srivastava, Aseem and Joshi, Smriti and Akhtar, Md Shad",majority,False,Absent,Absent,NA,Absent,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA
yang-etal-2026-mithinker,MIThinker: A Plug-and-Play Policy-Optimized Thinker For Motivational Interviewing Counseling,https://aclanthology.org/2026.findings-acl.163/,2026,"Yang, Yizhe and Achananuparp, Palakorn and Huang, Heyan and Jiang, Jing and Lim, Ee-Peng",majority,False,Present,Absent,NA,Present,Present,No,Absent,NA,Explicit,V0,Absent,NA,Explicit,V0,Absent,NA,Absent,NA,Absent,NA
lee-etal-2026-mhsafeeval,MHSafeEval: Role-Aware Interaction-Level Evaluation of Mental Health Safety in Large Language Models,https://aclanthology.org/2026.findings-acl.1382/,2026,"Lee, Suhyun and Achananuparp, Palakorn and Yadav, Neemesh and Lim, Ee-Peng and Deng, Yang",majority,False,Absent,Absent,NA,Absent,Present,No,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA
hoang-etal-2026-llms,LLMs as Standardised Patients for Motivational Interviewing: How Faithful Are They?,https://aclanthology.org/2026.clpsych-1.21/,2026,"Hoang, Van and Rogers, Eoin and Ross, Robert",majority,False,Absent,Absent,NA,Absent,Present,No,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA
qiu-lan-2026-interactive,Interactive Agents: Simulating Counselor--Client Psychological Counseling via Role-Playing LLM-to-LLM Interactions,https://aclanthology.org/2026.starsem-conference.29/,2026,"Qiu, Huachuan and Lan, Zhenzhong",majority,False,Present,Absent,NA,Absent,Present,No,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA
ye-etal-2026-emoharbor,EmoHarbor: Evaluating Personalized Emotional Support by Simulating the User's Internal World,https://aclanthology.org/2026.acl-long.53/,2026,"Ye, Jing and Xiang, Lu and Zhang, Yaping and Zong, Chengqing",majority,False,Present,Absent,NA,Absent,Present,No,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Explicit,V0,Absent,NA,Absent,NA
zhong-etal-2026-cognitive,Cognitive Policy-Driven LLM for Diagnosis and Intervention of Cognitive Distortions in Emotional Support Conversation,https://aclanthology.org/2026.acl-long.806/,2026,"Zhong, Lin and Zhu, Renjin and Ma, Shujuan and Cui, Jinhao and Wang, Lingzhi and Chen, Hao and Liao, Qing",majority,False,Present,Absent,NA,Present,Present,No,Absent,NA,Explicit,V1,Absent,NA,Explicit,V1,Absent,NA,Absent,NA,Absent,NA
byun-etal-2026-cradle,CRADLE Bench: A Clinician-Annotated Benchmark for Multi-Faceted Mental Health Crisis and Safety Risk Detection,https://aclanthology.org/2026.eacl-long.73/,2026,"Byun, Grace and Lipschutz, Rebecca and Minton, Sean T. and Powers, Abigail and Choi, Jinho D.",majority,False,Present,Absent,NA,Absent,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA
heinz2025therabot,Randomized Trial of a Generative AI Chatbot for Mental Health Treatment,https://ai.nejm.org/doi/full/10.1056/AIoa2400802,2025,"Heinz, Michael V. and Mackin, Daniel M. and Trudeau, Brianna M. and Bhattacharya, Sukanya and Wang, Yinzhou and Banta, Haley A. and Jewett, Abi D. and Salzhauer, Abigail J. and Griffin, Tess Z. and Jacobson, Nicholas C.",needs_review,True,Present,Absent,NA,Absent,Present,Unclear,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Unclear,NA,Absent,NA,Absent,NA
qiu-lan-2025-psydial,PsyDial: A Large-Scale Long-Term Conversational Dataset for Mental Health Support,https://aclanthology.org/2025.acl-long.1049/,2025,"Qiu, Huachuan and Lan, Zhenzhong",majority,False,Absent,Absent,NA,Absent,Present,No,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA
kim-etal-2025-mirror,MIRROR: Multimodal Cognitive Reframing Therapy for Rolling with Resistance,https://aclanthology.org/2025.emnlp-main.751/,2025,"Kim, Subin and Kim, Hoonrae and Lee, Jihyun and Jeon, Yejin and Lee, Gary",needs_review,True,Present,Absent,NA,Present,Present,Yes,Absent,NA,Explicit,V0,Absent,NA,Explicit,V0,Absent,NA,Absent,NA,Absent,NA
ye-etal-2025-generic,From Generic Empathy to Personalized Emotional Support: A Self-Evolution Framework for User Preference Alignment,https://aclanthology.org/2025.findings-emnlp.1024/,2025,"Ye, Jing and Xiang, Lu and Zhang, Yaping and Zong, Chengqing",majority,False,Present,Absent,NA,Absent,Present,No,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA
aghakhani-etal-2025-conversation,From Conversation to Automation: Leveraging LLMs for Problem-Solving Therapy Analysis,https://aclanthology.org/2025.findings-acl.1292/,2025,"Aghakhani, Elham and Wang, Lu and Washington, Karla T. and Demiris, George and Huh-Yoo, Jina and Rezapour, Rezvaneh",majority,False,Absent,Absent,NA,Absent,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA,Absent,NA
